859/549 _1.56
883/671 _1.32
788/543 _1.45
536+206 _742
512/70 _7.31
56/445 _0.13
695/626 _1.11
675*781 _527175
761-934 _-173
364-511 _-147
453-851 _-398
322/630 _0.51
835+212 _1047
374-43 _331
425/611 _0.7
719-474 _245
527+581 _1108
787/571 _1.38
554-271 _283
22/338 _0.07
897+426 _1323
136/286 _0.48
33*155 _5115
474*993 _470682
407/913 _0.45
287+903 _1190
513-24 _489
312-196 _116
529-538 _-9
298-926 _-628
597-13 _584
722/340 _2.12
861*106 _91266
245+735 _980
717/715 _1.0
94+234 _328
86-939 _-853
234+630 _864
885+225 _1110
301-779 _-478
508+530 _1038
861*500 _430500
900+797 _1697
281-366 _-85
712-283 _429
657/161 _4.08
403-816 _-413
981/529 _1.85
814+451 _1265
422*48 _20256
36/915 _0.04
984-221 _763
878/428 _2.05
538-740 _-202
532/754 _0.71
408*565 _230520
54+925 _979
653-537 _116
777+625 _1402
400/329 _1.22
989+1 _990
352/497 _0.71
553-279 _274
260*258 _67080
832*459 _381888
73*690 _50370
914/205 _4.46
167+27 _194
762*706 _537972
359*678 _243402
226+181 _407
739*377 _278603
301-541 _-240
879+392 _1271
999-365 _634
374-85 _289
612+894 _1506
642/538 _1.19
744*119 _88536
388*245 _95060
356+700 _1056
940-450 _490
577*759 _437943
420+695 _1115
480/825 _0.58
463+567 _1030
711+1000 _1711
39-425 _-386
81*708 _57348
107/654 _0.16
731/627 _1.17
469/391 _1.2
97+152 _249
418/96 _4.35
438*852 _373176
831*157 _130467
878-390 _488
428/799 _0.54
199/742 _0.27
1000/456 _2.19
974+46 _1020
844/739 _1.14
419*876 _367044
272*848 _230656
764-219 _545
550/859 _0.64
703-523 _180
935/534 _1.75
487*434 _211358
493-200 _293
666/981 _0.68
850+460 _1310
118-125 _-7
992*913 _905696
10/362 _0.03
665+709 _1374
634*421 _266914
584-887 _-303
997*90 _89730
477*6 _2862
713+571 _1284
756-29 _727
883-712 _171
893-725 _168
112-453 _-341
374/84 _4.45
258-510 _-252
580/590 _0.98
870/109 _7.98
335+41 _376
129/912 _0.14
319-977 _-658
877+858 _1735
210/612 _0.34
520-154 _366
368+12 _380
630/981 _0.64
482/497 _0.97
936+521 _1457
281*182 _51142
738+804 _1542
85/507 _0.17
361-604 _-243
164*818 _134152
65-901 _-836
379-741 _-362
832/473 _1.76
515-825 _-310
365+364 _729
618*635 _392430
249+220 _469
990*48 _47520
810-430 _380
962+912 _1874
212/244 _0.87
457-70 _387
904+681 _1585
607*859 _521413
843*356 _300108
206-514 _-308
134/299 _0.45
619-729 _-110
677+524 _1201
451*780 _351780
140-683 _-543
227-853 _-626
743*196 _145628
581+133 _714
475+843 _1318
585-427 _158
531+432 _963
926-146 _780
216/668 _0.32
745/262 _2.84
220*723 _159060
613+220 _833
86*19 _1634
790*961 _759190
243-248 _-5
375*297 _111375
469*309 _144921
175+473 _648
417*23 _9591
699/419 _1.67
378-263 _115
399-791 _-392
974-161 _813
343-661 _-318
77-397 _-320
980/107 _9.16
350+900 _1250
481-689 _-208
293/567 _0.52
738-294 _444
54/578 _0.09
55*172 _9460
581*135 _78435
814*124 _100936
636-383 _253
80-944 _-864
131+282 _413
732-715 _17
947*785 _743395
414+797 _1211
626/178 _3.52
897/889 _1.01
78/421 _0.19
783-345 _438
877-919 _-42
56+778 _834
870/162 _5.37
848*822 _697056
274-306 _-32
674/745 _0.9
490-85 _405
427/870 _0.49
518*203 _105154
511*241 _123151
30+318 _348
828-535 _293
124+48 _172
693*589 _408177
190*565 _107350
858+41 _899
695/994 _0.7
97+967 _1064
939/411 _2.28
477/423 _1.13
83+493 _576
772-990 _-218
419+99 _518
366/432 _0.85
940+973 _1913
387-842 _-455
371+521 _892
852+454 _1306
239+613 _852
309+694 _1003
954/645 _1.48
192+441 _633
17+78 _95
531/457 _1.16
785/30 _26.17
249-959 _-710
55-306 _-251
84/916 _0.09
400*553 _221200
616+244 _860
821+508 _1329
608+797 _1405
298+544 _842
160-509 _-349
763*148 _112924
405/731 _0.55
856/340 _2.52
17/782 _0.02
226*706 _159556
925*444 _410700
891-742 _149
992/827 _1.2
851*805 _685055
403/312 _1.29
505/69 _7.32
960+127 _1087
916+576 _1492
524-365 _159
874+168 _1042
577*480 _276960
146*374 _54604
157/294 _0.53
93-601 _-508
6+207 _213
847*333 _282051
855*165 _141075
753-716 _37
900-208 _692
69*682 _47058
483/415 _1.16
744+776 _1520
440+202 _642
732-721 _11
295+270 _565
948+487 _1435
813+820 _1633
918/86 _10.67
808-233 _575
355*362 _128510
579+82 _661
859+267 _1126
335/866 _0.39
538-205 _333
608/66 _9.21
49/539 _0.09
842+819 _1661
233+912 _1145
356*77 _27412
837+306 _1143
468-787 _-319
860/705 _1.22
451+70 _521
214/648 _0.33
294-570 _-276
592+790 _1382
907-718 _189
402/329 _1.22
501/188 _2.66
567-153 _414
940/706 _1.33
706-592 _114
236/325 _0.73
852-241 _611
718*602 _432236
820/758 _1.08
88/84 _1.05
159*737 _117183
151-719 _-568
192+17 _209
935+999 _1934
594-850 _-256
324*460 _149040
843*560 _472080
678*545 _369510
687-95 _592
957*602 _576114
156*749 _116844
388*583 _226204
840*435 _365400
335*971 _325285
593/671 _0.88
918/13 _70.62
691+469 _1160
610*895 _545950
543+780 _1323
404/711 _0.57
232/410 _0.57
843+206 _1049
650/621 _1.05
806-223 _583
868+175 _1043
562-311 _251
198/293 _0.68
492-20 _472
632-640 _-8
180/405 _0.44
843/82 _10.28
93+209 _302
138/577 _0.24
652+519 _1171
76-14 _62
150*89 _13350
177-404 _-227
145+72 _217
757/284 _2.67
990-185 _805
693*12 _8316
660-399 _261
665+607 _1272
787+937 _1724
197/895 _0.22
149-662 _-513
611/326 _1.87
705/931 _0.76
309/431 _0.72
904+17 _921
120+266 _386
188/619 _0.3
128/328 _0.39
525/241 _2.18
194*20 _3880
384/329 _1.17
920+249 _1169
442/545 _0.81
10*455 _4550
804/412 _1.95
535*363 _194205
61/274 _0.22
215+490 _705
410+894 _1304
258*588 _151704
62+446 _508
563+23 _586
264+982 _1246
202-215 _-13
465+378 _843
372+144 _516
798+43 _841
986*624 _615264
464/339 _1.37
825/695 _1.19
616+860 _1476
901+702 _1603
779-786 _-7
516*505 _260580
620*650 _403000
821*358 _293918
540*57 _30780
518/868 _0.6
762-252 _510
170-52 _118
372/678 _0.55
539+734 _1273
722/458 _1.58
356+90 _446
839+621 _1460
682*335 _228470
509-612 _-103
99*534 _52866
270*625 _168750
526*372 _195672
965/474 _2.04
663/438 _1.51
2*37 _74
936*234 _219024
362+160 _522
264/75 _3.52
131-355 _-224
650/900 _0.72
544-649 _-105
156+668 _824
409-589 _-180
193/163 _1.18
28+509 _537
984+342 _1326
385+252 _637
602*908 _546616
443*70 _31010
481-320 _161
594+807 _1401
891*384 _342144
601*771 _463371
243*772 _187596
233/229 _1.02
585-246 _339
654*843 _551322
116/911 _0.13
978*29 _28362
917/989 _0.93
533*357 _190281
396-428 _-32
554-71 _483
333*820 _273060
290*123 _35670
391-555 _-164
482-988 _-506
11+883 _894
593/143 _4.15
567*180 _102060
99+553 _652
733/227 _3.23
532+104 _636
505*208 _105040
651*432 _281232
455-4 _451
824+768 _1592
118+723 _841
899+767 _1666
681+140 _821
858/393 _2.18
251-899 _-648
182-147 _35
94/433 _0.22
170/85 _2.0
343-579 _-236
737+510 _1247
719-206 _513
375/274 _1.37
480/152 _3.16
420+954 _1374
303*40 _12120
765-833 _-68
542*442 _239564
180*259 _46620
929*459 _426411
402-779 _-377
553*542 _299726
933+398 _1331
784*457 _358288
711/647 _1.1
582-708 _-126
150-437 _-287
592-533 _59
288+384 _672
899-718 _181
404-177 _227
350/196 _1.79
934/65 _14.37
173+254 _427
261+358 _619
366/729 _0.5
404/917 _0.44
518-986 _-468
603*176 _106128
834/664 _1.26
130+225 _355
69-621 _-552
645+156 _801
267/791 _0.34
242-701 _-459
153+398 _551
732*538 _393816
470+114 _584
253*592 _149776
324/385 _0.84
490-183 _307
757+757 _1514
457-64 _393
612/396 _1.55
982/890 _1.1
393+419 _812
828+559 _1387
797/267 _2.99
230+656 _886
329*170 _55930
573*390 _223470
635-96 _539
140*185 _25900
559-186 _373
48-745 _-697
764*320 _244480
755-629 _126
885*379 _335415
961-675 _286
439*537 _235743
395/81 _4.88
742/622 _1.19
350*607 _212450
482/94 _5.13
831-81 _750
240/42 _5.71
865-291 _574
40/573 _0.07
830-594 _236
692+104 _796
551+602 _1153
906+749 _1655
542-978 _-436
127+189 _316
949-421 _528
4-687 _-683
429*439 _188331
295-372 _-77
997/963 _1.04
675/267 _2.53
901-127 _774
656/148 _4.43
158-721 _-563
695/780 _0.89
546+892 _1438
881+385 _1266
419*637 _266903
856+6 _862
230/240 _0.96
886+998 _1884
7-397 _-390
632+312 _944
74-480 _-406
376/920 _0.41
122/418 _0.29
966-51 _915
65*973 _63245
558-629 _-71
42*495 _20790
828-52 _776
821+227 _1048
4+916 _920
955/991 _0.96
915+4 _919
916+842 _1758
459*369 _169371
494/724 _0.68
858-104 _754
331+753 _1084
311-895 _-584
278+908 _1186
252/681 _0.37
574*978 _561372
759*676 _513084
330/934 _0.35
761+733 _1494
79/835 _0.09
526*11 _5786
547+913 _1460
93+845 _938
846-606 _240
465/422 _1.1
12*380 _4560
7*610 _4270
537-197 _340
662/589 _1.12
730-998 _-268
111-347 _-236
418-545 _-127
342-235 _107
805*280 _225400
708+379 _1087
585/192 _3.05
340-624 _-284
914/983 _0.93
593/417 _1.42
617-530 _87
376*473 _177848
133/426 _0.31
85-432 _-347
656+919 _1575
897*486 _435942
539/587 _0.92
413-438 _-25
647+174 _821
277/110 _2.52
302/688 _0.44
48-638 _-590
7+679 _686
825-583 _242
41-753 _-712
13*906 _11778
363+753 _1116
719+822 _1541
276/881 _0.31
891/359 _2.48
478+558 _1036
289-596 _-307
442-314 _128
531+253 _784
919+428 _1347
551-814 _-263
997*784 _781648
213/464 _0.46
972-368 _604
676-92 _584
440*590 _259600
697*19 _13243
526+859 _1385
420+874 _1294
718*178 _127804
30-938 _-908
155/776 _0.2
236/955 _0.25
218+158 _376
506/259 _1.95
490+297 _787
353*731 _258043
638*799 _509762
638+281 _919
11+268 _279
192*126 _24192
959*292 _280028
481/28 _17.18
962+81 _1043
378+565 _943
551*307 _169157
329*899 _295771
282*519 _146358
4*194 _776
258+82 _340
605-490 _115
321*131 _42051
850-536 _314
805-132 _673
960+550 _1510
667-933 _-266
914/644 _1.42
39*950 _37050
984+683 _1667
334*558 _186372
784/736 _1.07
634-218 _416
371-28 _343
607/199 _3.05
886*824 _730064
504+646 _1150
138-657 _-519
930/452 _2.06
126/661 _0.19
612*286 _175032
603*650 _391950
435+951 _1386
840-652 _188
946-17 _929
296-231 _65
732/922 _0.79
437-264 _173
536+942 _1478
472*927 _437544
817*535 _437095
96/831 _0.12
843+852 _1695
783*969 _758727
985+175 _1160
983*394 _387302
990+270 _1260
304+93 _397
703+489 _1192
334/618 _0.54
15+434 _449
304+67 _371
236+692 _928
691+747 _1438
896*756 _677376
711*393 _279423
537*706 _379122
811/84 _9.65
472+232 _704
718-769 _-51
49-284 _-235
172*523 _89956
628*573 _359844
799+917 _1716
754*861 _649194
455-552 _-97
586/206 _2.84
820+884 _1704
67/727 _0.09
700-322 _378
17*280 _4760
620-144 _476
771/532 _1.45
658*939 _617862
614/434 _1.41
801/632 _1.27
632+446 _1078
905*643 _581915
812+926 _1738
728*83 _60424
400-411 _-11
1000-132 _868
80-249 _-169
178*800 _142400
958/264 _3.63
642/21 _30.57
522-132 _390
313*758 _237254
195+938 _1133
15/905 _0.02
521+537 _1058
53-512 _-459
557-357 _200
231+902 _1133
127/966 _0.13
117*775 _90675
172-465 _-293
786+380 _1166
888/572 _1.55
562+80 _642
127/937 _0.14
89/896 _0.1
749*384 _287616
997+320 _1317
797*805 _641585
526/593 _0.89
521+611 _1132
617+707 _1324
25-319 _-294
864*105 _90720
658/497 _1.32
233*704 _164032
331+69 _400
426*639 _272214
116-545 _-429
897-65 _832
692/465 _1.49
946+694 _1640
852-869 _-17
977*597 _583269
697+802 _1499
159+739 _898
955/437 _2.19
245*593 _145285
146+396 _542
319*727 _231913
911*202 _184022
594*721 _428274
483-857 _-374
468+628 _1096
803+532 _1335
895-235 _660
240/253 _0.95
705/511 _1.38
372*862 _320664
910+178 _1088
893/489 _1.83
245/689 _0.36
820*565 _463300
289-824 _-535
152*500 _76000
517-363 _154
747+675 _1422
91-930 _-839
845/283 _2.99
536-269 _267
999*165 _164835
450/598 _0.75
261-939 _-678
777-222 _555
474+493 _967
10-84 _-74
164/439 _0.37
319/580 _0.55
776-757 _19
173*782 _135286
194/553 _0.35
270/706 _0.38
99*110 _10890
217/640 _0.34
586*521 _305306
606+654 _1260
509+754 _1263
810+619 _1429
685+471 _1156
506/928 _0.55
83/406 _0.2
24+738 _762
427-378 _49
632-299 _333
891-699 _192
419/641 _0.65
753-135 _618
701/582 _1.2
734/325 _2.26
547-35 _512
448-100 _348
452+846 _1298
19/430 _0.04
124-470 _-346
355/494 _0.72
799*106 _84694
480/558 _0.86
449/882 _0.51
134*839 _112426
396-293 _103
881+789 _1670
124/254 _0.49
954*704 _671616
892/982 _0.91
120-758 _-638
51+393 _444
623+252 _875
10+821 _831
230+872 _1102
750+201 _951
737/925 _0.8
974+266 _1240
195+506 _701
146+909 _1055
780*761 _593580
225/948 _0.24
911*820 _747020
58-842 _-784
795-358 _437
447-453 _-6
376/602 _0.62
711*687 _488457
669/504 _1.33
273/940 _0.29
504/856 _0.59
582+693 _1275
592-25 _567
614/315 _1.95
912*861 _785232
366*62 _22692
426/457 _0.93
45/895 _0.05
651-490 _161
411*568 _233448
486/230 _2.11
494*390 _192660
172/388 _0.44
695*564 _391980
431*886 _381866
881*822 _724182
67-461 _-394
609-146 _463
526-724 _-198
792-278 _514
440/585 _0.75
110*875 _96250
68/722 _0.09
830/726 _1.14
721*360 _259560
110*868 _95480
338*12 _4056
254*111 _28194
200*924 _184800
932*770 _717640
559*244 _136396
897*916 _821652
279-129 _150
99/171 _0.58
127*446 _56642
642*46 _29532
845+559 _1404
912*638 _581856
909+402 _1311
353+357 _710
42-639 _-597
492-964 _-472
212*489 _103668
123-813 _-690
978+798 _1776
288-780 _-492
726+135 _861
600+26 _626
484*260 _125840
945+673 _1618
504*566 _285264
748-295 _453
658/477 _1.38
13-600 _-587
24+299 _323
675/543 _1.24
479/447 _1.07
641-14 _627
964-599 _365
808+176 _984
761*834 _634674
112+127 _239
342-186 _156
460*632 _290720
858+370 _1228
915-985 _-70
524+223 _747
785+189 _974
620/426 _1.46
552*903 _498456
230-437 _-207
817*770 _629090
485*783 _379755
494*474 _234156
815+866 _1681
17-808 _-791
227*931 _211337
548-254 _294
211*291 _61401
21/355 _0.06
566+433 _999
66+632 _698
425/981 _0.43
196/768 _0.26
73-87 _-14
713+388 _1101
523*429 _224367
136-272 _-136
432/587 _0.74
511-548 _-37
750/646 _1.16
773+70 _843
110/426 _0.26
646/735 _0.88
583+748 _1331
944+808 _1752
219-871 _-652
286+829 _1115
213/69 _3.09
583/464 _1.26
184*378 _69552
952+127 _1079
857+803 _1660
895*522 _467190
934*828 _773352
152-376 _-224
26*831 _21606
480+758 _1238
194+534 _728
718*893 _641174
588+35 _623
803*882 _708246
481/667 _0.72
378-635 _-257
731/658 _1.11
455/643 _0.71
624+551 _1175
351-393 _-42
402/838 _0.48
160/304 _0.53
766+904 _1670
594+599 _1193
210*56 _11760
592/49 _12.08
582*677 _394014
23+406 _429
453*73 _33069
130-522 _-392
174-357 _-183
3/833 _0.0
519-104 _415
630-484 _146
913/617 _1.48
206*606 _124836
701+389 _1090
980*333 _326340
952+730 _1682
717/612 _1.17
905+272 _1177
606+857 _1463
705/87 _8.1
218/344 _0.63
618/114 _5.42
202/1 _202.0
605+526 _1131
851+885 _1736
257*281 _72217
711*336 _238896
236*772 _182192
301+118 _419
538-300 _238
975*919 _896025
740/942 _0.79
558-538 _20
180*397 _71460
316*690 _218040
36/857 _0.04
875/795 _1.1
66*38 _2508
50*696 _34800
947-321 _626
255+806 _1061
356+310 _666
334*347 _115898
780+163 _943
240/673 _0.36
618*748 _462264
91/212 _0.43
286+243 _529
153+368 _521
590-851 _-261
819-239 _580
990-447 _543
1000/912 _1.1
665-395 _270
851/808 _1.05
308*379 _116732
928+515 _1443
714-572 _142
876+576 _1452
544-631 _-87
253*393 _99429
316-746 _-430
672+760 _1432
976-735 _241
499-581 _-82
49/493 _0.1
397*588 _233436
799/538 _1.49
33/927 _0.04
987-490 _497
532*913 _485716
92*333 _30636
798-673 _125
139*829 _115231
293*363 _106359
671/991 _0.68
392-860 _-468
741*107 _79287
378+177 _555
586/280 _2.09
589/468 _1.26
924/2 _462.0
295-874 _-579
340*870 _295800
532-468 _64
72+175 _247
795-936 _-141
299*389 _116311
943-90 _853
934-52 _882
684+4 _688
423*589 _249147
214-722 _-508
609/434 _1.4
25/596 _0.04
8-962 _-954
219+384 _603
178*45 _8010
588*630 _370440
754+649 _1403
424/190 _2.23
756+432 _1188
793*354 _280722
269*620 _166780
318*202 _64236
437*84 _36708
233+624 _857
919*997 _916243
608*665 _404320
47+898 _945
328-624 _-296
363*391 _141933
770*403 _310310
783/960 _0.82
102+150 _252
56+425 _481
221+451 _672
528/757 _0.7
425-536 _-111
258+859 _1117
546*891 _486486
586+43 _629
438+663 _1101
422*569 _240118
440*590 _259600
320*195 _62400
245*148 _36260
585*974 _569790
714*349 _249186
436+538 _974
595-416 _179
9+804 _813
565+487 _1052
2+914 _916
276*812 _224112
577/848 _0.68
172*321 _55212
558+512 _1070
5/542 _0.01
141+689 _830
609-260 _349
67-316 _-249
571+65 _636
146/110 _1.33
57-79 _-22
169+595 _764
426*140 _59640
995-200 _795
77-4 _73
74-50 _24
627+811 _1438
380-125 _255
331-970 _-639
614+650 _1264
821-621 _200
797-739 _58
414/293 _1.41
787*945 _743715
4*964 _3856
801+715 _1516
463/661 _0.7
886-863 _23
678-176 _502
522/200 _2.61
820-872 _-52
355-628 _-273
862-997 _-135
910/77 _11.82
104*527 _54808
31+861 _892
866-312 _554
310+271 _581
652*406 _264712
53/203 _0.26
794+588 _1382
376*803 _301928
174+666 _840
113/591 _0.19
987-126 _861
490-197 _293
481+273 _754
840*601 _504840
620/505 _1.23
418/945 _0.44
308-774 _-466
826*754 _622804
604*425 _256700
156/198 _0.79
706/86 _8.21
458+942 _1400
170/73 _2.33
195/903 _0.22
833/40 _20.82
47+948 _995
143+620 _763
274*828 _226872
387-67 _320
553+71 _624
81/560 _0.14
299/90 _3.32
867/607 _1.43
528/805 _0.66
880*282 _248160
521*904 _470984
733*74 _54242
355+30 _385
841-173 _668
23/894 _0.03
737*449 _330913
106/448 _0.24
54*438 _23652
143/716 _0.2
903-599 _304
778+263 _1041
163*753 _122739
941/161 _5.84
419-233 _186
623+105 _728
927*523 _484821
293-796 _-503
934+141 _1075
757+260 _1017
942+858 _1800
487*207 _100809
998-491 _507
189*503 _95067
711*272 _193392
855-50 _805
496/124 _4.0
110+800 _910
976-996 _-20
341*54 _18414
245*194 _47530
538-675 _-137
5-647 _-642
5-918 _-913
917+663 _1580
723/18 _40.17
140-472 _-332
670-279 _391
622+869 _1491
771/310 _2.49
387-183 _204
267-286 _-19
758/754 _1.01
563*649 _365387
548/237 _2.31
93-157 _-64
174/952 _0.18
306+615 _921
517/398 _1.3
406-673 _-267
245*38 _9310
658-972 _-314
300/930 _0.32
440/672 _0.65
722+395 _1117
268-946 _-678
700/400 _1.75
130-233 _-103
523-602 _-79
250-35 _215
242/730 _0.33
220*869 _191180
266-457 _-191
884-276 _608
521/416 _1.25
947/335 _2.83
683-188 _495
41*129 _5289
533+367 _900
786+130 _916
487*624 _303888
100/91 _1.1
59+544 _603
43-288 _-245
901*184 _165784
554-214 _340
168+309 _477
240-722 _-482
538+645 _1183
970/507 _1.91
813*612 _497556
389/60 _6.48
211*540 _113940
459-471 _-12
104-59 _45
603/548 _1.1
410/974 _0.42
148/241 _0.61
437-800 _-363
60*840 _50400
621/452 _1.37
238-371 _-133
738+785 _1523
82*488 _40016
824/558 _1.48
235*428 _100580
369-63 _306
192+751 _943
400-937 _-537
135*211 _28485
276+601 _877
358*736 _263488
759+230 _989
643-452 _191
